file,BsLARVcov,BtiLARVcov,models,seed
wu20181002_LSM_Fillinger2006_test_260.xml,BsLARVcov60,BtiLARVcov10,base,3
wu20181002_LSM_Fillinger2006_test_261.xml,BsLARVcov70,BtiLARVcov10,base,3
wu20181002_LSM_Fillinger2006_test_262.xml,BsLARVcov80,BtiLARVcov10,base,3
wu20181002_LSM_Fillinger2006_test_263.xml,BsLARVcov90,BtiLARVcov10,base,3
wu20181002_LSM_Fillinger2006_test_264.xml,BsLARVcov0,BtiLARVcov100,base,3
wu20181002_LSM_Fillinger2006_test_265.xml,BsLARVcov10,BtiLARVcov100,base,3
wu20181002_LSM_Fillinger2006_test_266.xml,BsLARVcov100,BtiLARVcov100,base,3
wu20181002_LSM_Fillinger2006_test_267.xml,BsLARVcov20,BtiLARVcov100,base,3
wu20181002_LSM_Fillinger2006_test_268.xml,BsLARVcov30,BtiLARVcov100,base,3
wu20181002_LSM_Fillinger2006_test_269.xml,BsLARVcov40,BtiLARVcov100,base,3
wu20181002_LSM_Fillinger2006_test_270.xml,BsLARVcov50,BtiLARVcov100,base,3
wu20181002_LSM_Fillinger2006_test_271.xml,BsLARVcov60,BtiLARVcov100,base,3
wu20181002_LSM_Fillinger2006_test_272.xml,BsLARVcov70,BtiLARVcov100,base,3
wu20181002_LSM_Fillinger2006_test_273.xml,BsLARVcov80,BtiLARVcov100,base,3
wu20181002_LSM_Fillinger2006_test_274.xml,BsLARVcov90,BtiLARVcov100,base,3
wu20181002_LSM_Fillinger2006_test_275.xml,BsLARVcov0,BtiLARVcov20,base,3
wu20181002_LSM_Fillinger2006_test_276.xml,BsLARVcov10,BtiLARVcov20,base,3
wu20181002_LSM_Fillinger2006_test_277.xml,BsLARVcov100,BtiLARVcov20,base,3
wu20181002_LSM_Fillinger2006_test_278.xml,BsLARVcov20,BtiLARVcov20,base,3
wu20181002_LSM_Fillinger2006_test_279.xml,BsLARVcov30,BtiLARVcov20,base,3
wu20181002_LSM_Fillinger2006_test_280.xml,BsLARVcov40,BtiLARVcov20,base,3
wu20181002_LSM_Fillinger2006_test_281.xml,BsLARVcov50,BtiLARVcov20,base,3
wu20181002_LSM_Fillinger2006_test_282.xml,BsLARVcov60,BtiLARVcov20,base,3
wu20181002_LSM_Fillinger2006_test_283.xml,BsLARVcov70,BtiLARVcov20,base,3
wu20181002_LSM_Fillinger2006_test_284.xml,BsLARVcov80,BtiLARVcov20,base,3
wu20181002_LSM_Fillinger2006_test_285.xml,BsLARVcov90,BtiLARVcov20,base,3
wu20181002_LSM_Fillinger2006_test_286.xml,BsLARVcov0,BtiLARVcov30,base,3
wu20181002_LSM_Fillinger2006_test_287.xml,BsLARVcov10,BtiLARVcov30,base,3
wu20181002_LSM_Fillinger2006_test_288.xml,BsLARVcov100,BtiLARVcov30,base,3
