LARVcov,EIR,outcome,outcomeLabel,Frequency_fct,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
40,90,Nv,Host-seeking mosquitoes,10,15.7200717376046,20.7411413388725,18.1866707481086,18.2484009878528,1.31668280424474,18,17.6291192393982,18.9425850033756,15.9271787608411,20.5441416900764,0.310345113184391,17.5318997938077,18.8414417024094,0
40,90,Nv,Host-seeking mosquitoes,15,8.63035714926719,15.8621768496671,12.2362028896651,12.3101126039214,1.5912898576227,18,11.4590401369449,13.1233194700843,9.3561957101842,15.0496761828602,0.37507061638613,11.4448730604261,13.0275327189041,0
40,90,Nv,Host-seeking mosquitoes,20,7.15200773618813,12.2147797806933,9.73960197631499,9.91981511015725,1.38980179881834,18,9.10989020597334,10.7395686631551,7.26095148151199,11.7402572480127,0.327579425483238,9.04846980145277,10.4307341511772,0
40,90,Nv,Host-seeking mosquitoes,30,3.76908648070048,9.55410136683265,6.78738154443939,6.87227588125237,1.39960572117688,18,5.87338581275831,7.44230231711235,4.33641400403888,9.15345319376961,0.329890232143886,6.09137399368717,7.48338909519161,0
40,90,Nv,Host-seeking mosquitoes,60,0.58810838142392,4.80296974825081,3.20517619633865,3.0607992618965,1.07102736552675,18,2.42890345317172,4.02546530952182,1.27081175650714,4.70921032818538,0.252443571000109,2.67256681771875,3.73778557495855,0
40,90,Nv,Host-seeking mosquitoes,once,-1.41218958223798,3.05397236913101,1.17269702409992,1.4003615039779,1.1958371666075,18,0.532282827328425,1.97369677501081,-1.01563745505919,2.89104765524084,0.281861523234358,0.578021191588247,1.7673728566116,0
60,3,Nv,Host-seeking mosquitoes,5,51.2992827607252,58.3885480659636,53.7161121268706,53.1339273572926,1.86639689272883,18,52.8178055040001,54.7301875849135,51.3220129600429,57.7914583411424,0.439913966411352,52.7879747876295,54.6442494661117,0
60,3,Nv,Host-seeking mosquitoes,10,25.214477884001,30.3450650298293,27.6697836329785,27.7471548031668,1.43393995409266,18,26.7053366856385,28.5001006074227,25.4284845888746,30.15539219137,0.337982888451083,26.9567020698833,28.3828651960737,0
60,3,Nv,Host-seeking mosquitoes,15,16.8372453743741,20.813851537826,18.6967479300561,18.6519886107397,1.15283350956265,18,17.9601984376444,19.2930940335376,16.9360147330099,20.5945909032755,0.271725464063612,18.1234573130808,19.2700385470315,0
60,3,Nv,Host-seeking mosquitoes,20,12.0903688513554,16.0430404813299,14.1611182736663,14.1595642092873,1.1070303545005,18,13.5795919262428,14.8192613266085,12.1230298453713,15.8466391323746,0.260929556882216,13.6106050298391,14.7116315174936,0
60,3,Nv,Host-seeking mosquitoes,30,6.19902610518617,11.6839750534441,9.35732946672184,9.41911614647198,1.17381836074712,18,8.69949924588362,9.97082823004468,6.94518007399019,11.1834169483096,0.276671640921854,8.7736033287602,9.94105560468347,0
60,3,Nv,Host-seeking mosquitoes,60,2.38927491975355,6.04171999575442,4.82751483186411,5.1419308262862,1.1251877120877,18,3.88431476921891,5.7390535389339,2.71629221014483,6.02406485552835,0.26520928710833,4.26797214653689,5.38705751719134,0
60,3,Nv,Host-seeking mosquitoes,once,1.38109078592804,4.32920909242747,2.90202723347498,3.1062174377856,0.85506098832607,18,2.08942738244316,3.52855209600968,1.54847075323991,4.16993003668695,0.201539807724478,2.47681540758434,3.32723905936561,0
60,10,Nv,Host-seeking mosquitoes,5,51.4454909294677,58.4410701922815,53.6310938225073,53.1562726953009,1.95135884844326,18,52.2707818347086,53.8379721773423,51.7592388250023,58.1422335658455,0.459939691420867,52.6607058966837,54.6014817483309,0
60,10,Nv,Host-seeking mosquitoes,10,25.5808093215554,30.4315896972244,27.3449582181658,27.2380477148286,1.28868077130626,18,26.2303720667944,27.8453859678868,25.6958252460747,29.9132842502086,0.303744970725123,26.7041123472414,27.9858040890902,0
60,10,Nv,Host-seeking mosquitoes,15,16.2300882298196,20.6401013076829,18.8312560407162,18.8606875027699,1.08779787893329,18,18.3528604153324,19.5238422375012,16.6034612650529,20.639677356641,0.256396418918023,18.2903068819823,19.3722051994502,0
60,10,Nv,Host-seeking mosquitoes,20,12.5388644572056,16.4625808859334,14.2598237060907,14.3105110116732,0.976350033294963,18,13.8370151975274,14.6588237758425,12.6484171746021,16.1086647947202,0.23012790978486,13.7742962571324,14.745351155049,0
60,10,Nv,Host-seeking mosquitoes,30,7.15430219088789,12.8491071840339,9.73241582587386,9.58372882965253,1.41319717822511,18,8.9599600849047,10.553520784469,7.50292763196628,12.3556899905219,0.333093769292223,9.02964940254191,10.4351822492058,0
60,10,Nv,Host-seeking mosquitoes,60,3.39239100277447,6.98125214697619,5.1480311980546,5.19480924023323,0.983885601690539,18,4.5783873697121,5.85932560152208,3.45039858801583,6.72802749131168,0.231904060289062,4.65875639909393,5.63730599701526,0
60,10,Nv,Host-seeking mosquitoes,once,-0.99301361880523,4.02647015997755,1.86975022649912,2.02258870834403,1.31505317887696,18,1.09110847660722,2.40091932515107,-0.596457522557416,3.95824770425548,0.309961006801608,1.21578966582819,2.52371078717005,0
60,90,Nv,Host-seeking mosquitoes,5,51.6589110857598,59.2334547603347,53.7796486671333,53.0609853638236,1.87787218118998,18,52.8407171532556,54.1206291879335,51.8549756390431,58.302000288407,0.442618717840337,52.8458048011931,54.7134925330735,0
60,90,Nv,Host-seeking mosquitoes,10,25.3732163967076,33.3994713476913,27.5660731735438,27.3435352920821,1.76335915707504,18,26.7008855611267,27.8060680305125,25.3976883925012,31.7405440164715,0.415627739211717,26.6891752947753,28.4429710523123,0
60,90,Nv,Host-seeking mosquitoes,15,16.4341858722632,21.1667328233698,18.6762797726131,18.4123451745324,1.20502112079388,18,17.9320903612944,19.2465848766301,16.9283372886097,21.1268612414952,0.284026201995454,18.0770368671303,19.275522678096,0
60,90,Nv,Host-seeking mosquitoes,20,12.8340426859205,18.146325429052,14.3450912940572,14.0283864356749,1.3407042461382,18,13.2102446178335,15.2846755190326,12.9216007707942,17.0194309116859,0.31600702133664,13.6783747577364,15.0118078303779,0
60,90,Nv,Host-seeking mosquitoes,30,7.32092501910519,11.8316479262299,10.0528441893519,10.3660156649902,1.225356769622,18,9.51374519959227,10.864231756895,7.71685530817757,11.6180422187685,0.288819360390853,9.44348860361945,10.6621997750844,0
60,90,Nv,Host-seeking mosquitoes,60,1.47920923157897,6.98604095911673,4.71555466891501,4.87864733544207,1.33306572637567,18,3.78042185576941,5.81071714131783,2.15243868691287,6.58163177143584,0.314206604962535,4.05263667910693,5.37847265872308,0
60,90,Nv,Host-seeking mosquitoes,once,0.136878057213315,5.55983774230585,2.60467611212489,2.47823835847419,1.15408091917767,18,1.91990205755611,3.26707707730805,0.762539127173462,4.81698461680977,0.272019481329511,2.03076517294175,3.17858705130803,0
80,3,Nv,Host-seeking mosquitoes,5,69.2959926053799,76.403726270748,71.4464300571733,70.7537090976442,1.92688749239947,18,70.3813459163595,71.9023331026657,69.3450699076382,75.7549927798158,0.454171737486401,70.4882114504129,72.4046486639338,0
80,3,Nv,Host-seeking mosquitoes,10,34.6156701335885,41.04613114763,36.8036431966095,36.6292367577586,1.64301821275384,18,35.9659593333607,37.0487387607341,34.6831071733697,40.6908298296062,0.387263106617081,35.9865894615487,37.6206969316704,0
80,3,Nv,Host-seeking mosquitoes,15,22.4824745562689,28.1003961400034,25.2059333581895,25.2966746101818,1.38185983801874,18,24.4024064504486,25.7657357345394,22.7787948439936,27.7462293941798,0.325707487370799,24.5187506275177,25.8931160888614,0
80,3,Nv,Host-seeking mosquitoes,20,16.9215075510627,22.1982754390622,18.9948010292986,18.719043064294,1.53088823740012,18,17.5345481846123,20.1434666215811,17.0788892945904,21.613248552186,0.360833817968116,18.2335082191404,19.7560938394568,0
80,3,Nv,Host-seeking mosquitoes,30,10.0375257289649,14.6404941690571,12.5260408776994,12.7771188449969,1.32543724633636,18,11.6707372066045,13.3968357604558,10.227759056799,14.4168671369272,0.312408554973888,11.8669164417671,13.1851653136318,0
