PostInterventionDays,Decay2,EIR,Frequency,Frequency_fct,LARVcov,outcome,outcomeLabel,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
75,decay_5dayStep,10,once,once,80,Nv0,Mosquito emergence,-2.36352209041368,1.00230702427353,-0.259807959671117,-0.123613982103581,0.984004278008633,18,-0.765633883284631,0.512344729512477,-2.26091760703793,0.979473458734256,0.231932032565493,-0.749141774976337,0.229525855634103,0
75,decay_5dayStep,10,once,once,80,PR,Prevalence,-1.84745288121514,3.23971492125412,1.20377561260811,1.18735301000951,1.55005249891989,18,0.0883357871001997,2.53770226795878,-1.60396448617448,3.11613026499748,0.365350877727136,0.432952639404324,1.9745985858119,0
75,decay_5dayStep,10,once,once,80,simulatedEIR,EIR,-2.05180975523623,5.29084504610039,1.49619212136337,1.09155653231021,2.10309436886821,18,0.717951275928179,2.84324797825657,-1.8675742013817,5.07036283644295,0.495704096567318,0.450347896429856,2.54203634629689,0
80,decay_5dayStep,10,1,5,80,Nv,Host-seeking mosquitoes,80.0076925744746,89.5361798928836,82.3468134820729,81.1371003373563,2.87857928287407,18,80.4642980220778,82.4304122611375,80.0841043298589,89.1243642884975,0.67848764370112,80.9153296820249,83.778297282121,0
80,decay_5dayStep,10,1,5,80,Nv0,Mosquito emergence,80.1530128257945,90.5568814701196,82.6723677842206,81.319649363187,3.17566670795924,18,80.602263828172,82.722086912178,80.2336334578802,90.1872994673963,0.74851182132878,81.0931458833887,84.2515896850524,0
80,decay_5dayStep,10,1,5,80,PR,Prevalence,8.022334850775,12.969464678801,11.2704673286656,11.4898665885525,1.47071111125361,18,10.927975744879,12.5263078836325,8.08693526861191,12.9022171524937,0.346649933311276,10.5390998993106,12.0018347580206,0
80,decay_5dayStep,10,1,5,80,simulatedEIR,EIR,78.9526717993361,85.8370079133561,80.8678191193284,80.0637909108033,2.08802919135716,18,79.4326258319499,81.0570272330035,79.1401653611769,85.5695716143913,0.492153200174704,79.8294666309193,81.9061716077375,0
80,decay_5dayStep,10,12,60,80,Nv,Host-seeking mosquitoes,7.98375718290329,11.786243693906,9.64611138701167,9.52701448169547,1.00663512879075,18,9.06789444786263,10.3367919063186,8.13430565030492,11.6197947014052,0.237266175249511,9.14552351437732,10.146699259646,0
80,decay_5dayStep,10,12,60,80,Nv0,Mosquito emergence,-1.07518220191717,5.41157930839953,1.13589706409449,0.758900281694596,1.57577099123719,18,0.275368365060916,1.79513293892928,-0.898334415688716,4.61880951848539,0.371412784500289,0.352284585549332,1.91950954263965,0
80,decay_5dayStep,10,12,60,80,PR,Prevalence,-0.742590069436113,2.87180368939052,1.23018359684045,1.23421309679295,1.1535623494285,18,0.154885507413122,2.34049822032305,-0.676820712830471,2.81992067140317,0.271897253267459,0.656530536326673,1.80383665735422,0
