PostInterventionDays,EIR,LARVcov,outcome,outcomeLabel,min.val,max.val,mean.val,median.val,sd.val,n.val,q25,q75,q2.5,q97.5,se.val,lower.ci.val,upper.ci.val,weighted
365,10,70,Nv,Host-seeking mosquitoes,70.0583025633317,81.8005675572119,72.7344878429665,71.2895208037467,3.63570321083554,18,70.7326146380857,72.3688558190973,70.0727990634238,81.770808428575,0.856943464921173,70.9264951713534,74.5424805145797,0
365,10,70,PR,Prevalence,54.5871611762958,61.8932753450872,56.6342438297215,56.0379134818565,2.17037411389143,18,54.9317909177235,57.5748158160694,54.6863299227019,61.3734868105288,0.511562084548125,55.554942174713,57.71354548473,0
365,10,70,simulatedEIR,EIR,86.3441171144474,92.8189046130707,88.0958561041662,87.3068085285177,1.99879449636897,18,86.8277406048076,87.9656805163283,86.4052024298187,92.7644790994091,0.471120380860284,87.1018789855924,89.08983322274,0
365,10,80,Nv,Host-seeking mosquitoes,80.1396243197927,93.3029729795403,83.1006786376063,81.3183577470752,4.11083282427092,18,80.6804814415998,82.6847660672302,80.2009780019226,93.2977131487354,0.968932588788739,81.0564095679095,85.1449477073031,0
365,10,80,PR,Prevalence,61.3604979450697,70.3058582429463,64.9238491711318,64.1363743060495,2.32305616480284,18,63.6408010807759,66.2145091781046,61.9302827710386,70.0433235429787,0.547549589069767,63.7686205184761,66.0790778237874,0
365,10,80,simulatedEIR,EIR,92.6563917713915,97.9168964060989,93.9526680612295,93.1409820050177,1.64777122747079,18,92.9540188773899,93.9660757537562,92.7041185181508,97.9155834165766,0.388383402929559,93.1332507075568,94.7720854149022,0
365,10,90,Nv,Host-seeking mosquitoes,90.1822605737888,99.9854419275074,92.9377367258816,91.4378390757491,3.23258783545329,18,90.8167821407366,93.2436127843506,90.2688244409358,99.97119576256,0.761928259743388,91.3302086142836,94.5452648374796,0
365,10,90,PR,Prevalence,69.5039439611662,74.8159440541689,71.7659600169385,71.5930106361174,1.51478625218446,18,70.6856343823893,72.7667878891251,69.5300396289805,74.5195433064702,0.357038543655929,71.0126745356463,72.5192454982307,0
365,10,90,simulatedEIR,EIR,96.910175066943,99.9940657557154,97.8954946128221,97.4245433550768,0.988449478847683,18,97.2549098632647,98.070400584241,96.9952032868238,99.9889779133058,0.232979776451168,97.4039502511453,98.3870389744989,0
365,10,100,Nv,Host-seeking mosquitoes,99.9999999999948,99.999999999995,99.9999999999949,99.9999999999948,0.0000000000000463697790175511,18,99.9999999999948,99.9999999999949,99.9999999999948,99.999999999995,0.0000000000000109294617284773,99.9999999999948,99.9999999999949,0
365,10,100,PR,Prevalence,74.5612946675124,77.4373122604549,76.2945564602431,76.2988336001492,0.790187318024583,18,75.8465522442256,76.8627384203502,74.7810073432333,77.3715835889359,0.186248936994265,75.9016055516177,76.6875073688685,0
365,10,100,simulatedEIR,EIR,100,100,100,100,0,18,100,100,100,100,0,100,100,0
365,90,0,Nv,Host-seeking mosquitoes,0,0,0,0,0,18,0,0,0,0,0,0,0,0
365,90,0,PR,Prevalence,0,0,0,0,0,18,0,0,0,0,0,0,0,0
365,90,0,simulatedEIR,EIR,0,0,0,0,0,18,0,0,0,0,0,0,0,0
365,90,10,Nv,Host-seeking mosquitoes,8.55709273441562,12.4811608451961,10.2581072752653,10.0694018874987,1.13164991319996,18,9.38859540950148,10.8704684231592,8.66554484110203,12.397513769278,0.26673244251762,9.69535101292812,10.8208635376025,0
