file,developmentDuration,developmentSurvival,EIR,femaleEggsLaidByOviposit,LARVcov,LSMDeployTime,models,Seasonality_grp,seed
wu31052019_LSM_forPaper_constant_duration_92.xml,developmentDuration11,developmentSurvival60,EIR10,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_93.xml,developmentDuration5,developmentSurvival60,EIR10,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_94.xml,developmentDuration11,developmentSurvival90,EIR10,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_95.xml,developmentDuration5,developmentSurvival90,EIR10,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_96.xml,developmentDuration11,developmentSurvival10,EIR3,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_97.xml,developmentDuration5,developmentSurvival10,EIR3,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_98.xml,developmentDuration11,developmentSurvival60,EIR3,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_99.xml,developmentDuration5,developmentSurvival60,EIR3,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_100.xml,developmentDuration11,developmentSurvival90,EIR3,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_101.xml,developmentDuration5,developmentSurvival90,EIR3,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_102.xml,developmentDuration11,developmentSurvival10,EIR90,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_103.xml,developmentDuration5,developmentSurvival10,EIR90,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_104.xml,developmentDuration11,developmentSurvival60,EIR90,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_105.xml,developmentDuration5,developmentSurvival60,EIR90,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_106.xml,developmentDuration11,developmentSurvival90,EIR90,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_107.xml,developmentDuration5,developmentSurvival90,EIR90,femaleEggsLaidByOviposit99,LARVcov10,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_108.xml,developmentDuration11,developmentSurvival10,EIR10,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_109.xml,developmentDuration5,developmentSurvival10,EIR10,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_110.xml,developmentDuration11,developmentSurvival60,EIR10,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_111.xml,developmentDuration5,developmentSurvival60,EIR10,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_112.xml,developmentDuration11,developmentSurvival90,EIR10,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_113.xml,developmentDuration5,developmentSurvival90,EIR10,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_114.xml,developmentDuration11,developmentSurvival10,EIR3,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_115.xml,developmentDuration5,developmentSurvival10,EIR3,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_116.xml,developmentDuration11,developmentSurvival60,EIR3,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_117.xml,developmentDuration5,developmentSurvival60,EIR3,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_118.xml,developmentDuration11,developmentSurvival90,EIR3,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_119.xml,developmentDuration5,developmentSurvival90,EIR3,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_120.xml,developmentDuration11,developmentSurvival10,EIR90,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_121.xml,developmentDuration5,developmentSurvival10,EIR90,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_122.xml,developmentDuration11,developmentSurvival60,EIR90,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_123.xml,developmentDuration5,developmentSurvival60,EIR90,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_124.xml,developmentDuration11,developmentSurvival90,EIR90,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_125.xml,developmentDuration5,developmentSurvival90,EIR90,femaleEggsLaidByOviposit200,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
wu31052019_LSM_forPaper_constant_duration_126.xml,developmentDuration11,developmentSurvival10,EIR10,femaleEggsLaidByOviposit50,LARVcov100,LSM_endOfdryPartWet_1yrs_12mth,base,constant,1
